"Year","Average population (1 January)","Live births","Deaths","Natural change","Crude birth rate (per 1000)","Crude death rate (per 1000)","Natural change (per 1000)","Total fertility rate[fn 1][24][27]","Infant mortality rate (per 1,000 live births)","Life expectancy at birth (males)","Life expectancy at birth (females)"
"1983","54772000","748525","559655","188870","13.7","10.2","3.4","1.7844","9.1","70.7","78.8"
"1984","55026000","759939","542490","217449","13.8","9.9","4.0","1.802","8.3","71.2","79.3"
"1985","55284000","768431","552496","215935","13.9","10.0","3.9","1.814","8.3","71.3","79.4"
"1986","55577000","778468","546926","231542","14.0","9.8","4.2","1.831","8.0","71.5","79.7"
"1987","55824000","767828","527466","240362","13.8","9.4","4.3","1.801","7.8","72.0","80.3"
"1988","56118000","771268","524600","246668","13.7","9.3","4.4","1.805","7.8","72.3","80.5"
"1989","56423000","765473","529283","236190","13.6","9.4","4.2","1.788","7.5","72.5","80.6"
"1990","56709000","762407","526201","236206","13.4","9.3","4.2","1.778","7.3","72.7","81.0"
"1991","56976000","759056","524685","234371","13.3","9.2","4.1","1.770","7.3","72.9","81.2"
"1992","57240000","743658","521530","222128","13.0","9.1","3.9","1.733","6.8","73.2","81.5"
"1993","57467000","711610","532263","179347","12.4","9.3","3.1","1.660","6.5","73.3","81.5"
"1994","57659000","710993","519965","191028","12.3","9.0","3.3","1.663","5.9","73.6","81.8"
"1995","57844000","729609","531618","197991","12.6","9.2","3.4","1.713","4.9","73.8","81.9"
"1996","58026000","734338","535775","198563","12.7","9.2","3.4","1.733","4.8","74.1","82.0"
"1997","58207000","726768","530319","196449","12.5","9.1","3.4","1.726","4.7","74.5","82.3"
"1998","58398000","738080","534005","204075","12.6","9.1","3.5","1.764","4.6","74.7","82.4"
"1999","58661000","744791","537661","207130","12.7","9.2","3.5","1.791","4.3","74.9","82.5"
"2000","59049000","774782","530864","243918","13.1","9.0","4.1","1.874","4.4","75.2","82.8"
"2001","59477000","770945","531073","239872","13.0","8.9","4.0","1.877","4.5","75.4","82.9"
"2002","59894000","761630","535144","226486","12.7","8.9","3.8","1.864","4.1","75.7","83.0"
"2003","60304000","761464","552339","209125","12.6","9.2","3.5","1.874","4.0","75.8","82.9"
"2004","60734000","767816","509429","258387","12.6","8.4","4.3","1.898","3.9","76.7","83.8"
"2005","61182000","774355","527533","246822","12.7","8.6","4.0","1.920","3.6","76.7","83.8"
"2006","61598000","796896","516416","280480","12.9","8.4","4.6","1.980","3.6","77.1","84.2"
"2007","61965000","785985","521016","264969","12.7","8.4","4.3","1.959","3.6","77.4","84.4"
"2008","62301000","796044","532131","263913","12.8","8.5","4.2","1.990","3.6","77.6","84.3"
"2009","62616000","793420","538166","255254","12.7","8.6","4.1","1.989","3.7","77.7","84.4"
"2010","62765000","802224","540469","261755","12.8","8.6","4.2","2.016","3.6","78.0","84.6"
"2011","63070000","792996","534795","258201","12.5","8.5","4.0","1.996","3.5","78.4","85.0"
"2012","63375000","790290","559227","231063","12.4","8.8","3.6","1.992","3.5","78.5","84.8"
"2013","63697000","781621","558408","223213","12.3","8.8","3.5","1.973","3.6","78.7","85.0"
"2014","63697000","781167","547003","234164","12.2","8.5","3.3","1.974","3.3","79.2","85.4"
"2015","64300000","760421","581770","178651","11.8","9.0","2.8","1.925","3.5","79.0","85.1"
"2016","64468000","744697","581073","163624","11.5","9.0","2.5","1.891","3.5","79.3","85.3"
"2017","64639000","730242","593606","136636","11.3","9.2","2.1","1.858","3.6","79.5","85.3"
"2018","64737000","719737","596552","123185","11.1","9.2","1.9","1.835","3.6","79.6","85.5"
"2019","64821000","714029","599408","114621","11.0","9.2","1.8","1.828","3.6","79.8","85.6"
"2020","65124000","696800","654100","42700","10.7","10.0","0.7","1.801","3.3","79.2","85.2"
"2021","65236000","","","","","","","","","",""
